Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-07,5.125,-0.057794597503023695,-0.057794597503023695
2025-01-08,4.625,-0.20089837466373106,-0.20089837466373106
2025-01-09,2.5,-0.8090894275967374,-0.8090894275967374
2025-01-12,2.625,-0.7733134833065606,-0.7733134833065606
2025-01-13,3.0,-0.66598565043603,-0.66598565043603
2025-01-16,7.75,0.6935002325906899,0.6935002325906899
2025-01-17,4.751953125,-0.1645634312440202,-0.1645634312440202
2025-01-19,1.25,-1.1668488704985058,-1.1668488704985058
2025-01-20,7.875,0.7292761768808669,0.7292761768808669
2025-01-21,5.25,-0.022018653212846854,-0.022018653212846854
2025-01-22,3.875,-0.4155540404047921,-0.4155540404047921
2025-01-23,3.75,-0.45132998469496893,-0.45132998469496893
2025-01-24,3.5,-0.5228818732753227,-0.5228818732753227
2025-01-26,2.125,-0.9164172604672679,-0.9164172604672679
2025-01-27,7.0,0.47884456684962895,0.47884456684962895
2025-01-28,4.375,-0.2724502632440847,-0.2724502632440847
2025-01-29,6.0,0.1926370125282142,0.1926370125282142
2025-02-02,5.5,0.04953323536750683,0.04953323536750683
2025-02-03,4.75,-0.16512243037355423,-0.16512243037355423
2025-02-04,5.75,0.12108512394786052,0.12108512394786052
2025-02-05,6.375,0.29996484539874474,0.29996484539874474
2025-02-06,2.625,-0.7733134833065606,-0.7733134833065606
2025-02-09,1.625,-1.0595210376279753,-1.0595210376279753
2025-02-10,3.75,-0.45132998469496893,-0.45132998469496893
2025-02-11,3.625,-0.4871059289851458,-0.4871059289851458
2025-02-14,6.625,0.3715167339790984,0.3715167339790984
2025-02-16,1.5,-1.0952969819181522,-1.0952969819181522
2025-02-17,2.125,-0.9164172604672679,-0.9164172604672679
2025-02-18,3.75,-0.45132998469496893,-0.45132998469496893
2025-02-19,4.625,-0.20089837466373106,-0.20089837466373106
2025-02-20,2.5,-0.8090894275967374,-0.8090894275967374
2025-02-21,6.75,0.40729267826927523,0.40729267826927523
2025-02-23,0.875,-1.2741767033690363,-1.2741767033690363
2025-02-24,6.25,0.2641889011085679,0.2641889011085679
2025-02-25,6.875,0.44306862255945206,0.44306862255945206
2025-02-26,9.0,1.0512596754924584,1.0512596754924584
2025-03-02,4.75,-0.16512243037355423,-0.16512243037355423
2025-03-03,14.25,2.5538493356798857,2.5538493356798857
2025-03-04,15.75,2.9831606671620077,2.9831606671620077
2025-03-05,13.75,2.4107455585191784,2.4107455585191784
2025-03-06,8.875,1.0154837312022815,1.0154837312022815
2025-03-09,5.25,-0.022018653212846854,-0.022018653212846854
2025-03-10,14.5,2.6254012242602394,2.6254012242602394
2025-03-11,8.0,0.7650521211710437,0.7650521211710437
2025-03-14,6.875,0.44306862255945206,0.44306862255945206
2025-03-16,4.25,-0.3082262075342616,-0.3082262075342616
2025-03-17,7.25,0.5503964554299826,0.5503964554299826
2025-03-18,4.5,-0.2366743189539079,-0.2366743189539079
2025-03-19,8.625,0.9439318426219279,0.9439318426219279
2025-03-20,5.875,0.15686106823803736,0.15686106823803736
2025-03-21,4.875,-0.12934648608337737,-0.12934648608337737
2025-03-23,2.125,-0.9164172604672679,-0.9164172604672679
2025-03-24,4.875,-0.12934648608337737,-0.12934648608337737
2025-03-25,5.0,-0.09357054179320054,-0.09357054179320054
2025-03-26,3.25,-0.5944337618556763,-0.5944337618556763
2025-03-30,3.875,-0.4155540404047921,-0.4155540404047921
2025-03-31,6.75,0.40729267826927523,0.40729267826927523
2025-04-01,5.5,0.04953323536750683,0.04953323536750683
2025-04-02,18.0,3.627127664385191,3.627127664385191
2025-04-03,13.25,2.267641781358471,2.267641781358471
2025-04-04,15.875,3.0189366114521845,3.0189366114521845
2025-04-06,15.5,2.911608778581654,2.911608778581654
2025-04-07,26.375,6.02411593182704,6.02411593182704
2025-04-08,15.5,2.911608778581654,2.911608778581654
2025-04-09,14.0,2.482297447099532,2.482297447099532
2025-04-13,6.625,0.3715167339790984,0.3715167339790984
2025-04-14,10.25,1.4090191183942269,1.4090191183942269
2025-04-15,7.125,0.5146205111398058,0.5146205111398058
2025-04-16,6.125,0.22841295681839105,0.22841295681839105
2025-04-17,4.875,-0.12934648608337737,-0.12934648608337737
2025-04-20,2.375,-0.8448653718869142,-0.8448653718869142
2025-04-21,6.375,0.29996484539874474,0.29996484539874474
2025-04-22,5.25,-0.022018653212846854,-0.022018653212846854
2025-04-23,6.375,0.29996484539874474,0.29996484539874474
2025-04-24,5.5,0.04953323536750683,0.04953323536750683
2025-04-25,6.375,0.29996484539874474,0.29996484539874474
2025-04-27,1.5,-1.0952969819181522,-1.0952969819181522
2025-04-28,7.125,0.5146205111398058,0.5146205111398058
2025-04-29,6.25,0.2641889011085679,0.2641889011085679
2025-05-01,11.25,1.6952266727156415,1.6952266727156415
2025-05-04,2.125,-0.9164172604672679,-0.9164172604672679
2025-05-05,5.375,0.01375729107732999,0.01375729107732999
2025-05-06,5.125,-0.057794597503023695,-0.057794597503023695
2025-05-07,5.875,0.15686106823803736,0.15686106823803736
2025-05-08,8.375,0.8723799540415742,0.8723799540415742
2025-05-09,4.625,-0.20089837466373106,-0.20089837466373106
2025-05-11,1.125,-1.2026248147886827,-1.2026248147886827
2025-05-12,7.125,0.5146205111398058,0.5146205111398058
2025-05-14,7.0,0.47884456684962895,0.47884456684962895
2025-05-16,6.625,0.3715167339790984,0.3715167339790984
2025-05-18,3.0,-0.66598565043603,-0.66598565043603
2025-05-19,7.0,0.47884456684962895,0.47884456684962895
2025-05-20,4.0,-0.37977809611461527,-0.37977809611461527
2025-05-21,5.75,0.12108512394786052,0.12108512394786052
2025-05-22,5.25,-0.022018653212846854,-0.022018653212846854
2025-05-23,7.375,0.5861723997201594,0.5861723997201594
2025-05-25,3.125,-0.6302097061458531,-0.6302097061458531
2025-05-26,3.625,-0.4871059289851458,-0.4871059289851458
2025-05-27,3.5,-0.5228818732753227,-0.5228818732753227
2025-05-28,8.875,1.0154837312022815,1.0154837312022815
2025-06-01,3.5,-0.5228818732753227,-0.5228818732753227
2025-06-02,5.375,0.01375729107732999,0.01375729107732999
2025-06-03,4.875,-0.12934648608337737,-0.12934648608337737
2025-06-04,9.5,1.1943634526531657,1.1943634526531657
2025-06-05,8.625,0.9439318426219279,0.9439318426219279
2025-06-08,2.125,-0.9164172604672679,-0.9164172604672679
2025-06-09,3.625,-0.4871059289851458,-0.4871059289851458
2025-06-10,3.5,-0.5228818732753227,-0.5228818732753227
2025-06-13,8.875,1.0154837312022815,1.0154837312022815
2025-06-15,2.75,-0.7375375390163836,-0.7375375390163836
2025-06-16,4.5,-0.2366743189539079,-0.2366743189539079
2025-06-17,5.25,-0.022018653212846854,-0.022018653212846854
2025-06-18,4.625,-0.20089837466373106,-0.20089837466373106
2025-06-19,3.125,-0.6302097061458531,-0.6302097061458531
2025-06-20,6.125,0.22841295681839105,0.22841295681839105
2025-06-22,3.375,-0.5586578175654995,-0.5586578175654995
2025-06-23,9.125,1.0870356197826352,1.0870356197826352
2025-06-24,4.5,-0.2366743189539079,-0.2366743189539079
2025-06-25,5.125,-0.057794597503023695,-0.057794597503023695
