Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-02,2.75,-0.35179336914482173,-0.35179336914482173
2025-01-05,2.25,-0.543789072305216,-0.543789072305216
2025-01-06,2.5,-0.44779122072501887,-0.44779122072501887
2025-01-07,2.25,-0.543789072305216,-0.543789072305216
2025-01-08,2.75,-0.35179336914482173,-0.35179336914482173
2025-01-09,2.25,-0.543789072305216,-0.543789072305216
2025-01-12,2.0,-0.6397869238854131,-0.6397869238854131
2025-01-13,3.25,-0.15979766598442752,-0.15979766598442752
2025-01-16,2.5,-0.44779122072501887,-0.44779122072501887
2025-01-19,2.5,-0.44779122072501887,-0.44779122072501887
2025-01-20,5.75,0.8001808498175437,0.8001808498175437
2025-01-21,4.5,0.3201915919165581,0.3201915919165581
2025-01-22,3.25,-0.15979766598442752,-0.15979766598442752
2025-01-23,3.5,-0.06379981440423038,-0.06379981440423038
2025-01-26,9.0,2.0481529203601063,2.0481529203601063
2025-01-27,3.75,0.03219803717596673,0.03219803717596673
2025-01-28,1.75,-0.7357847754656103,-0.7357847754656103
2025-01-29,3.25,-0.15979766598442752,-0.15979766598442752
2025-02-02,9.25,2.1441507719403035,2.1441507719403035
2025-02-03,2.25,-0.543789072305216,-0.543789072305216
2025-02-04,2.25,-0.543789072305216,-0.543789072305216
2025-02-05,1.75,-0.7357847754656103,-0.7357847754656103
2025-02-06,2.0,-0.6397869238854131,-0.6397869238854131
2025-02-09,2.75,-0.35179336914482173,-0.35179336914482173
2025-02-10,1.75,-0.7357847754656103,-0.7357847754656103
2025-02-11,3.0,-0.25579551756462465,-0.25579551756462465
2025-02-16,2.75,-0.35179336914482173,-0.35179336914482173
2025-02-17,3.25,-0.15979766598442752,-0.15979766598442752
2025-02-18,1.5,-0.8317826270458074,-0.8317826270458074
2025-02-19,2.5,-0.44779122072501887,-0.44779122072501887
2025-02-20,2.75,-0.35179336914482173,-0.35179336914482173
2025-02-23,1.5,-0.8317826270458074,-0.8317826270458074
2025-02-24,3.5,-0.06379981440423038,-0.06379981440423038
2025-02-25,4.75,0.41618944349675524,0.41618944349675524
2025-02-26,3.0,-0.25579551756462465,-0.25579551756462465
2025-03-02,3.0,-0.25579551756462465,-0.25579551756462465
2025-03-03,5.75,0.8001808498175437,0.8001808498175437
2025-03-04,5.25,0.6081851466571495,0.6081851466571495
2025-03-05,5.75,0.8001808498175437,0.8001808498175437
2025-03-06,3.5,-0.06379981440423038,-0.06379981440423038
2025-03-09,4.0,0.12819588875616386,0.12819588875616386
2025-03-10,6.75,1.184172256138332,1.184172256138332
2025-03-11,2.75,-0.35179336914482173,-0.35179336914482173
2025-03-16,3.5,-0.06379981440423038,-0.06379981440423038
2025-03-17,2.75,-0.35179336914482173,-0.35179336914482173
2025-03-18,1.75,-0.7357847754656103,-0.7357847754656103
2025-03-19,2.25,-0.543789072305216,-0.543789072305216
2025-03-20,2.25,-0.543789072305216,-0.543789072305216
2025-03-23,3.0,-0.25579551756462465,-0.25579551756462465
2025-03-24,1.75,-0.7357847754656103,-0.7357847754656103
2025-03-25,2.25,-0.543789072305216,-0.543789072305216
2025-03-26,2.75,-0.35179336914482173,-0.35179336914482173
2025-03-30,5.75,0.8001808498175437,0.8001808498175437
2025-03-31,3.0,-0.25579551756462465,-0.25579551756462465
2025-04-01,3.25,-0.15979766598442752,-0.15979766598442752
2025-04-02,9.5,2.2401486235205,2.2401486235205
2025-04-03,9.25,2.1441507719403035,2.1441507719403035
2025-04-06,14.75,4.2561035067046395,4.2561035067046395
2025-04-07,8.75,1.952155068779909,1.952155068779909
2025-04-08,22.5,7.232036905690752,7.232036905690752
2025-04-09,10.75,2.720137881421486,2.720137881421486
2025-04-13,9.25,2.1441507719403035,2.1441507719403035
2025-04-14,4.25,0.22419374033636097,0.22419374033636097
2025-04-15,3.0,-0.25579551756462465,-0.25579551756462465
2025-04-16,5.25,0.6081851466571495,0.6081851466571495
2025-04-20,2.5,-0.44779122072501887,-0.44779122072501887
2025-04-21,3.0,-0.25579551756462465,-0.25579551756462465
2025-04-22,5.5,0.7041829982373465,0.7041829982373465
2025-04-23,3.25,-0.15979766598442752,-0.15979766598442752
2025-04-24,3.0,-0.25579551756462465,-0.25579551756462465
2025-04-27,2.25,-0.543789072305216,-0.543789072305216
2025-04-28,2.25,-0.543789072305216,-0.543789072305216
2025-04-29,2.5,-0.44779122072501887,-0.44779122072501887
2025-05-01,4.75,0.41618944349675524,0.41618944349675524
2025-05-04,3.5,-0.06379981440423038,-0.06379981440423038
2025-05-05,2.5,-0.44779122072501887,-0.44779122072501887
2025-05-06,3.5,-0.06379981440423038,-0.06379981440423038
2025-05-07,3.0,-0.25579551756462465,-0.25579551756462465
2025-05-08,3.0,-0.25579551756462465,-0.25579551756462465
2025-05-11,2.0,-0.6397869238854131,-0.6397869238854131
2025-05-12,3.0,-0.25579551756462465,-0.25579551756462465
2025-05-14,2.0,-0.6397869238854131,-0.6397869238854131
2025-05-18,5.25,0.6081851466571495,0.6081851466571495
