Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-06-08,3.625,2.188319186944008,2.188319186944008
2025-06-09,0.625,-0.3278480197425407,-0.3278480197425407
2025-06-10,0.625,-0.3278480197425407,-0.3278480197425407
2025-06-15,1.25,0.19635348165049024,0.19635348165049024
2025-06-16,1.1875,0.14393333151118715,0.14393333151118715
2025-06-17,0.6875,-0.2754278696032376,-0.2754278696032376
2025-06-18,0.6875,-0.2754278696032376,-0.2754278696032376
2025-06-19,0.5,-0.4326883200211469,-0.4326883200211469
2025-06-22,1.3125,0.24877363178979334,0.24877363178979334
2025-06-23,0.8125,-0.17058756932463143,-0.17058756932463143
2025-06-24,0.375,-0.5375286202997531,-0.5375286202997531
2025-06-25,0.75,-0.22300771946393452,-0.22300771946393452
2025-06-29,0.5,-0.4326883200211469,-0.4326883200211469
2025-06-30,0.3125,-0.5899487704390561,-0.5899487704390561
2025-07-01,0.4375,-0.48510847016045,-0.48510847016045
2025-07-02,0.75,-0.22300771946393452,-0.22300771946393452
2025-07-06,0.6875,-0.2754278696032376,-0.2754278696032376
2025-07-07,0.375,-0.5375286202997531,-0.5375286202997531
2025-07-08,0.4375,-0.48510847016045,-0.48510847016045
2025-07-09,0.5625,-0.3802681698818438,-0.3802681698818438
2025-07-10,0.5625,-0.3802681698818438,-0.3802681698818438
2025-07-13,0.0,-0.8520495211355716,-0.8520495211355716
2025-07-14,0.5625,-0.3802681698818438,-0.3802681698818438
2025-07-21,0.3125,-0.5899487704390561,-0.5899487704390561
2025-07-22,0.4375,-0.48510847016045,-0.48510847016045
2025-07-23,0.4375,-0.48510847016045,-0.48510847016045
2025-07-24,0.3125,-0.5899487704390561,-0.5899487704390561
2025-07-27,0.0,-0.8520495211355716,-0.8520495211355716
2025-07-28,0.375,-0.5375286202997531,-0.5375286202997531
2025-07-29,0.375,-0.5375286202997531,-0.5375286202997531
2025-08-03,0.0,-0.8520495211355716,-0.8520495211355716
2025-08-04,1.3125,0.24877363178979334,0.24877363178979334
2025-08-05,0.0625,-0.7996293709962685,-0.7996293709962685
