Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-15,5.25,0.21297109057892222,0.21297109057892222
2023-06-16,4.75,0.030097820993626973,0.030097820993626973
2023-06-20,2.75,-0.7013952573475539,-0.7013952573475539
2023-06-21,5.5,0.30440772537156985,0.30440772537156985
2023-06-22,4.25,-0.15277544859166825,-0.15277544859166825
2023-06-23,8.5,1.4016473428833411,1.4016473428833411
2023-06-26,6.25,0.5787176297495127,0.5787176297495127
2023-06-27,2.5,-0.7928318921402016,-0.7928318921402016
2023-06-28,3.75,-0.3356487181769635,-0.3356487181769635
2023-07-05,4.5,-0.06133881379902064,-0.06133881379902064
2023-07-06,4.0,-0.24421208338431588,-0.24421208338431588
2023-07-10,3.75,-0.3356487181769635,-0.3356487181769635
2023-07-11,4.25,-0.15277544859166825,-0.15277544859166825
