Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-18,2.5,-0.7027462014649688,-0.7027462014649688
2025-02-19,4.0,-0.4543898337731797,-0.4543898337731797
2025-02-20,5.0,-0.28881892197865366,-0.28881892197865366
2025-02-23,4.0,-0.4543898337731797,-0.4543898337731797
2025-02-24,7.0,0.04232290161039846,0.04232290161039846
2025-02-25,9.5,0.45625018109671356,0.45625018109671356
2025-02-26,9.5,0.45625018109671356,0.45625018109671356
2025-03-02,7.5,0.12510835750766147,0.12510835750766147
2025-03-03,11.5,0.7873920046857656,0.7873920046857656
2025-03-04,12.5,0.9529629164802917,0.9529629164802917
2025-03-05,11.0,0.7046065487885027,0.7046065487885027
2025-03-06,7.5,0.12510835750766147,0.12510835750766147
2025-03-09,9.0,0.37346472519945056,0.37346472519945056
2025-03-10,12.5,0.9529629164802917,0.9529629164802917
2025-03-11,7.5,0.12510835750766147,0.12510835750766147
2025-03-16,6.5,-0.040462554286864565,-0.040462554286864565
2025-03-17,4.5,-0.37160437787591666,-0.37160437787591666
2025-03-18,4.0,-0.4543898337731797,-0.4543898337731797
2025-03-19,8.5,0.2906792693021875,0.2906792693021875
2025-03-20,4.0,-0.4543898337731797,-0.4543898337731797
2025-03-23,5.0,-0.28881892197865366,-0.28881892197865366
2025-03-24,2.5,-0.7027462014649688,-0.7027462014649688
2025-03-25,5.0,-0.28881892197865366,-0.28881892197865366
2025-03-26,5.0,-0.28881892197865366,-0.28881892197865366
2025-03-30,10.5,0.6218210928912397,0.6218210928912397
2025-03-31,5.0,-0.28881892197865366,-0.28881892197865366
2025-04-01,6.5,-0.040462554286864565,-0.040462554286864565
2025-04-02,16.0,1.532461107761133,1.532461107761133
2025-04-03,16.0,1.532461107761133,1.532461107761133
2025-04-06,27.0,3.3537411375009194,3.3537411375009194
2025-04-07,12.5,0.9529629164802917,0.9529629164802917
2025-04-08,51.0,7.327443020569545,7.327443020569545
2025-04-09,23.5,2.7742429462200784,2.7742429462200784
2025-04-13,15.5,1.4496756518638698,1.4496756518638698
2025-04-14,9.5,0.45625018109671356,0.45625018109671356
2025-04-15,5.5,-0.20603346608139061,-0.20603346608139061
2025-04-16,8.5,0.2906792693021875,0.2906792693021875
2025-04-20,10.5,0.6218210928912397,0.6218210928912397
2025-04-21,6.0,-0.1232480101841276,-0.1232480101841276
2025-04-22,10.0,0.5390356369939766,0.5390356369939766
2025-04-23,6.0,-0.1232480101841276,-0.1232480101841276
2025-04-24,5.0,-0.28881892197865366,-0.28881892197865366
2025-04-27,7.5,0.12510835750766147,0.12510835750766147
2025-04-28,3.0,-0.6199607455677058,-0.6199607455677058
2025-04-29,6.0,-0.1232480101841276,-0.1232480101841276
2025-05-01,8.0,0.20789381340492452,0.20789381340492452
2025-05-04,9.5,0.45625018109671356,0.45625018109671356
2025-05-05,6.5,-0.040462554286864565,-0.040462554286864565
2025-05-06,7.5,0.12510835750766147,0.12510835750766147
2025-05-07,5.0,-0.28881892197865366,-0.28881892197865366
2025-05-08,6.0,-0.1232480101841276,-0.1232480101841276
2025-05-11,4.0,-0.4543898337731797,-0.4543898337731797
2025-05-12,4.0,-0.4543898337731797,-0.4543898337731797
2025-05-14,4.5,-0.37160437787591666,-0.37160437787591666
2025-05-18,12.0,0.8701774605830287,0.8701774605830287
