Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-16,2.5,-0.3163306355029572,-0.3163306355029572
2024-12-17,3.5,0.2682229635326366,0.2682229635326366
2024-12-18,3.875,0.48743056317098427,0.48743056317098427
2024-12-23,1.375,-0.9739534344180003,-0.9739534344180003
2024-12-24,0.5,-1.485437833574145,-1.485437833574145
2024-12-26,1.125,-1.1200918341768986,-1.1200918341768986
2024-12-27,1.75,-0.7547458347796526,-0.7547458347796526
2024-12-30,2.75,-0.17019223574405876,-0.17019223574405876
2024-12-31,2.0,-0.6086074350207541,-0.6086074350207541
2025-01-02,2.5,-0.3163306355029572,-0.3163306355029572
2025-01-03,1.5,-0.900884234538551,-0.900884234538551
2025-01-06,2.625,-0.243261435623508,-0.243261435623508
2025-01-07,1.25,-1.0470226342974496,-1.0470226342974496
2025-01-08,3.75,0.41436136329153506,0.41436136329153506
2025-01-09,1.5,-0.900884234538551,-0.900884234538551
2025-01-13,2.625,-0.243261435623508,-0.243261435623508
2025-01-16,3.125,0.04901536389428892,0.04901536389428892
2025-01-17,3.5,0.2682229635326366,0.2682229635326366
2025-01-20,4.5,0.8527765625682304,0.8527765625682304
2025-01-21,2.125,-0.5355382351413049,-0.5355382351413049
2025-01-22,2.0,-0.6086074350207541,-0.6086074350207541
2025-01-23,2.625,-0.243261435623508,-0.243261435623508
2025-01-24,1.0,-1.1931610340563479,-1.1931610340563479
2025-01-27,4.0,0.5604997630504335,0.5604997630504335
2025-01-28,1.75,-0.7547458347796526,-0.7547458347796526
2025-01-29,1.375,-0.9739534344180003,-0.9739534344180003
2025-02-03,3.0,-0.02405383598516031,-0.02405383598516031
2025-02-04,1.875,-0.6816766349002034,-0.6816766349002034
2025-02-05,1.25,-1.0470226342974496,-1.0470226342974496
2025-02-06,2.25,-0.4624690352618557,-0.4624690352618557
2025-02-10,2.5,-0.3163306355029572,-0.3163306355029572
2025-02-11,1.25,-1.0470226342974496,-1.0470226342974496
2025-02-14,4.75,0.9989149623271288,0.9989149623271288
2025-02-17,0.625,-1.4123686336946957,-1.4123686336946957
2025-02-18,1.0,-1.1931610340563479,-1.1931610340563479
2025-02-19,2.0,-0.6086074350207541,-0.6086074350207541
2025-02-20,1.875,-0.6816766349002034,-0.6816766349002034
2025-02-21,1.625,-0.8278150346591018,-0.8278150346591018
2025-02-24,2.875,-0.09712303586460953,-0.09712303586460953
2025-02-25,2.625,-0.243261435623508,-0.243261435623508
2025-02-26,4.5,0.8527765625682304,0.8527765625682304
2025-03-03,4.875,1.071984162206578,1.071984162206578
2025-03-04,6.75,2.1680221603983165,2.1680221603983165
2025-03-05,5.875,1.656537761242172,1.656537761242172
2025-03-06,7.5,2.6064373596750117,2.6064373596750117
2025-03-10,4.125,0.6335689629298827,0.6335689629298827
2025-03-11,5.375,1.364260961724375,1.364260961724375
2025-03-14,3.875,0.48743056317098427,0.48743056317098427
2025-03-17,6.875,2.241091360277766,2.241091360277766
2025-03-18,2.5,-0.3163306355029572,-0.3163306355029572
2025-03-19,3.125,0.04901536389428892,0.04901536389428892
2025-03-20,2.875,-0.09712303586460953,-0.09712303586460953
2025-03-21,2.5,-0.3163306355029572,-0.3163306355029572
2025-03-24,1.25,-1.0470226342974496,-1.0470226342974496
2025-03-25,2.625,-0.243261435623508,-0.243261435623508
2025-03-26,1.75,-0.7547458347796526,-0.7547458347796526
2025-03-31,3.25,0.12208456377373815,0.12208456377373815
2025-04-01,3.75,0.41436136329153506,0.41436136329153506
2025-04-02,2.75,-0.17019223574405876,-0.17019223574405876
2025-04-03,8.125,2.9717833590722575,2.9717833590722575
2025-04-04,8.625,3.2640601585900546,3.2640601585900546
2025-04-07,8.0,2.8987141591928087,2.8987141591928087
2025-04-08,9.75,3.9216829575050975,3.9216829575050975
2025-04-09,8.75,3.337129358469504,3.337129358469504
2025-04-14,3.625,0.34129216341208585,0.34129216341208585
2025-04-15,4.875,1.071984162206578,1.071984162206578
2025-04-16,2.875,-0.09712303586460953,-0.09712303586460953
2025-04-17,3.75,0.41436136329153506,0.41436136329153506
2025-04-21,4.0,0.5604997630504335,0.5604997630504335
2025-04-22,1.75,-0.7547458347796526,-0.7547458347796526
2025-04-23,2.25,-0.4624690352618557,-0.4624690352618557
2025-04-24,3.5,0.2682229635326366,0.2682229635326366
2025-04-25,1.875,-0.6816766349002034,-0.6816766349002034
2025-04-28,2.0,-0.6086074350207541,-0.6086074350207541
2025-04-29,2.875,-0.09712303586460953,-0.09712303586460953
2025-05-01,2.875,-0.09712303586460953,-0.09712303586460953
2025-05-05,2.5,-0.3163306355029572,-0.3163306355029572
2025-05-06,2.25,-0.4624690352618557,-0.4624690352618557
2025-05-07,2.875,-0.09712303586460953,-0.09712303586460953
2025-05-08,2.625,-0.243261435623508,-0.243261435623508
2025-05-09,1.875,-0.6816766349002034,-0.6816766349002034
2025-05-12,3.125,0.04901536389428892,0.04901536389428892
2025-05-14,2.375,-0.38939983538240647,-0.38939983538240647
2025-05-16,2.0,-0.6086074350207541,-0.6086074350207541
2025-05-19,3.375,0.19515376365318737,0.19515376365318737
2025-05-20,1.5,-0.900884234538551,-0.900884234538551
2025-05-21,1.75,-0.7547458347796526,-0.7547458347796526
2025-05-22,2.875,-0.09712303586460953,-0.09712303586460953
2025-05-23,6.625,2.0949529605188673,2.0949529605188673
2025-05-26,1.25,-1.0470226342974496,-1.0470226342974496
2025-05-27,1.625,-0.8278150346591018,-0.8278150346591018
2025-05-28,4.75,0.9989149623271288,0.9989149623271288
2025-06-02,3.0,-0.02405383598516031,-0.02405383598516031
2025-06-03,3.5,0.2682229635326366,0.2682229635326366
2025-06-04,4.5,0.8527765625682304,0.8527765625682304
2025-06-05,4.375,0.7797073626887812,0.7797073626887812
2025-06-09,1.875,-0.6816766349002034,-0.6816766349002034
2025-06-10,1.125,-1.1200918341768986,-1.1200918341768986
2025-06-13,3.625,0.34129216341208585,0.34129216341208585
2025-06-16,2.75,-0.17019223574405876,-0.17019223574405876
2025-06-17,4.625,0.9258457624476797,0.9258457624476797
2025-06-18,1.875,-0.6816766349002034,-0.6816766349002034
2025-06-19,3.0,-0.02405383598516031,-0.02405383598516031
2025-06-20,2.25,-0.4624690352618557,-0.4624690352618557
2025-06-23,4.125,0.6335689629298827,0.6335689629298827
2025-06-24,2.25,-0.4624690352618557,-0.4624690352618557
2025-06-25,2.875,-0.09712303586460953,-0.09712303586460953
2025-06-30,1.75,-0.7547458347796526,-0.7547458347796526
2025-07-01,3.0,-0.02405383598516031,-0.02405383598516031
2025-07-02,1.75,-0.7547458347796526,-0.7547458347796526
2025-07-04,0.875,-1.2662302339357971,-1.2662302339357971
2025-07-07,1.5,-0.900884234538551,-0.900884234538551
2025-07-08,1.875,-0.6816766349002034,-0.6816766349002034
2025-07-09,3.375,0.19515376365318737,0.19515376365318737
2025-07-10,1.875,-0.6816766349002034,-0.6816766349002034
2025-07-11,1.625,-0.8278150346591018,-0.8278150346591018
2025-07-14,2.375,-0.38939983538240647,-0.38939983538240647
2025-07-17,4.125,0.6335689629298827,0.6335689629298827
2025-07-18,2.125,-0.5355382351413049,-0.5355382351413049
2025-07-21,1.5,-0.900884234538551,-0.900884234538551
2025-07-22,3.75,0.41436136329153506,0.41436136329153506
2025-07-23,1.875,-0.6816766349002034,-0.6816766349002034
2025-07-24,3.0,-0.02405383598516031,-0.02405383598516031
2025-07-25,1.625,-0.8278150346591018,-0.8278150346591018
2025-07-28,1.625,-0.8278150346591018,-0.8278150346591018
