Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-21,21.0,0.3477540178343071,0.3477540178343071
2025-02-23,4.0,-1.1793475792211827,-1.1793475792211827
2025-02-24,17.0,-0.011564005002278773,-0.011564005002278773
2025-02-25,23.0,0.5274130292526,0.5274130292526
2025-02-26,19.0,0.16809500641601416,0.16809500641601416
2025-03-02,7.5,-0.8649443092391702,-0.8649443092391702
2025-03-03,34.0,1.515537592053211,1.515537592053211
2025-03-04,35.5,1.6502818506169308,1.6502818506169308
2025-03-05,27.5,0.931645804943759,0.931645804943759
2025-03-06,19.0,0.16809500641601416,0.16809500641601416
2025-03-09,9.0,-0.7302000506754505,-0.7302000506754505
2025-03-10,28.0,0.9765605577983323,0.9765605577983323
2025-03-11,26.0,0.7969015463800394,0.7969015463800394
2025-03-14,14.5,-0.23613776927514493,-0.23613776927514493
2025-03-16,6.5,-0.9547738149483166,-0.9547738149483166
2025-03-17,16.5,-0.056478757856852004,-0.056478757856852004
2025-03-18,21.0,0.3477540178343071,0.3477540178343071
2025-03-19,22.5,0.4824982763980268,0.4824982763980268
2025-03-20,19.0,0.16809500641601416,0.16809500641601416
2025-03-21,13.0,-0.3708820278388646,-0.3708820278388646
2025-03-23,5.0,-1.0895180735120362,-1.0895180735120362
2025-03-24,14.0,-0.28105252212971815,-0.28105252212971815
2025-03-25,15.0,-0.19122301642057168,-0.19122301642057168
2025-03-26,10.504028320312273,-0.5950939300892412,-0.5950939300892412
2025-03-30,10.5,-0.5954557921117307,-0.5954557921117307
2025-03-31,15.5,-0.14630826356599846,-0.14630826356599846
2025-04-01,16.5,-0.056478757856852004,-0.056478757856852004
2025-04-02,41.0,2.1443441320172365,2.1443441320172365
2025-04-03,21.5,0.3926687706888803,0.3926687706888803
2025-04-04,28.5,1.0214753106529055,1.0214753106529055
2025-04-06,27.0,0.8867310520891858,0.8867310520891858
2025-04-07,76.0,5.288376831837362,5.288376831837362
2025-04-08,95.5,7.040052193165718,7.040052193165718
2025-04-09,77.0,5.378206337546509,5.378206337546509
2025-04-13,15.5,-0.14630826356599846,-0.14630826356599846
2025-04-14,29.5,1.111304816362052,1.111304816362052
2025-04-15,20.5,0.30283926497973385,0.30283926497973385
2025-04-16,17.5,0.03335074785229446,0.03335074785229446
2025-04-17,16.0,-0.10139351071142523,-0.10139351071142523
2025-04-20,10.5,-0.5954557921117307,-0.5954557921117307
2025-04-21,21.5,0.3926687706888803,0.3926687706888803
2025-04-22,32.5,1.3807933334894913,1.3807933334894913
2025-04-23,23.5,0.5723277821071733,0.5723277821071733
2025-04-24,14.5,-0.23613776927514493,-0.23613776927514493
2025-04-25,19.5,0.21300975927058738,0.21300975927058738
