Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-15,6.0,0.32761857072720985,0.32761857072720985
2023-06-16,8.0,1.0372820982571311,1.0372820982571311
2023-06-20,3.75,-0.47075289774395174,-0.47075289774395174
2023-06-21,8.75,1.3034059210808517,1.3034059210808517
2023-06-22,2.75,-0.8255846615089124,-0.8255846615089124
2023-06-23,2.75,-0.8255846615089124,-0.8255846615089124
2023-06-26,4.0,-0.38204495680271155,-0.38204495680271155
2023-06-27,3.5,-0.5594608386851919,-0.5594608386851919
2023-06-28,7.0,0.6824503344921705,0.6824503344921705
2023-07-03,10.0,1.7469456257870526,1.7469456257870526
2023-07-05,9.25,1.480821802963332,1.480821802963332
2023-07-06,6.25,0.41632651166845003,0.41632651166845003
2023-07-10,2.25,-1.0030005433913929,-1.0030005433913929
2023-07-11,4.25,-0.2933370158614714,-0.2933370158614714
