Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-09,5.75,-0.5169419597575969,-0.5169419597575969
2025-01-12,4.5,-0.7629807881534585,-0.7629807881534585
2025-01-13,6.25,-0.41852642839925225,-0.41852642839925225
2025-01-16,12.0,0.7132521822217112,0.7132521822217112
2025-01-17,7.254028320312273,-0.22090246711453512,-0.22090246711453512
2025-01-19,2.5,-1.1566429135868372,-1.1566429135868372
2025-01-20,13.75,1.0577065419759175,1.0577065419759175
2025-01-21,4.75,-0.7137730224742862,-0.7137730224742862
2025-01-22,7.0,-0.27090313136173527,-0.27090313136173527
2025-01-23,6.5,-0.36931866272007996,-0.36931866272007996
2025-01-24,6.75,-0.3201108970409076,-0.3201108970409076
2025-01-26,11.5,0.6148366508633666,0.6148366508633666
2025-01-27,9.25,0.17196675975081563,0.17196675975081563
2025-01-28,7.75,-0.12327983432421831,-0.12327983432421831
2025-01-29,9.75,0.2703822911091603,0.2703822911091603
2025-02-02,9.5,0.22117452542998797,0.22117452542998797
2025-02-03,8.0,-0.074072068645046,-0.074072068645046
2025-02-04,9.5,0.22117452542998797,0.22117452542998797
2025-02-05,11.5,0.6148366508633666,0.6148366508633666
2025-02-06,5.0,-0.6645652567951139,-0.6645652567951139
2025-02-09,2.75,-1.1074351479076647,-1.1074351479076647
2025-02-10,5.5,-0.5661497254367692,-0.5661497254367692
2025-02-11,6.25,-0.41852642839925225,-0.41852642839925225
2025-02-14,10.75,0.4672133538258496,0.4672133538258496
2025-02-16,2.75,-1.1074351479076647,-1.1074351479076647
2025-02-17,3.75,-0.9106040851909755,-0.9106040851909755
2025-02-18,6.25,-0.41852642839925225,-0.41852642839925225
2025-02-19,7.0,-0.27090313136173527,-0.27090313136173527
2025-02-20,5.0,-0.6645652567951139,-0.6645652567951139
2025-02-21,10.25,0.3687978224675049,0.3687978224675049
2025-02-23,1.5,-1.3534739763035264,-1.3534739763035264
2025-02-24,9.75,0.2703822911091603,0.2703822911091603
2025-02-25,11.25,0.5656288851841942,0.5656288851841942
2025-02-26,10.75,0.4672133538258496,0.4672133538258496
2025-03-02,3.0,-1.0582273822284924,-1.0582273822284924
2025-03-03,17.0,1.6974074958051577,1.6974074958051577
2025-03-04,19.0,2.0910696212385362,2.0910696212385362
