Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-05-24,4.75,0.4869219582443099,0.4869219582443099
2023-05-28,4.75,0.4869219582443099,0.4869219582443099
2023-05-30,3.5,-0.0024824863129717513,-0.0024824863129717513
2023-05-31,5.75,0.8784455138901353,0.8784455138901353
2023-06-01,2.25,-0.49188693087025337,-0.49188693087025337
2023-06-04,3.5,-0.0024824863129717513,-0.0024824863129717513
2023-06-05,3.25,-0.10036337522442808,-0.10036337522442808
2023-06-06,2.0,-0.5897678197817098,-0.5897678197817098
2023-06-07,2.5,-0.39400604195879707,-0.39400604195879707
2023-06-08,2.5,-0.39400604195879707,-0.39400604195879707
2023-06-11,3.25,-0.10036337522442808,-0.10036337522442808
2023-06-12,4.25,0.29116018042139724,0.29116018042139724
2023-06-15,4.0,0.19327929150994091,0.19327929150994091
