Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-01-09,0.875,-0.26807526737443177,-0.26807526737443177
2025-01-13,0.75,-0.3786150994167388,-0.3786150994167388
2025-01-16,0.75,-0.3786150994167388,-0.3786150994167388
2025-01-17,0.6875,-0.4338850154378923,-0.4338850154378923
2025-01-20,0.625,-0.4891549314590458,-0.4891549314590458
2025-01-21,1.4375,0.2293539768159497,0.2293539768159497
2025-01-22,0.625,-0.4891549314590458,-0.4891549314590458
2025-01-23,0.5625,-0.5444248474801993,-0.5444248474801993
2025-01-24,0.75,-0.3786150994167388,-0.3786150994167388
2025-01-27,2.625,1.2794823812178662,1.2794823812178662
2025-01-28,0.5625,-0.5444248474801993,-0.5444248474801993
2025-01-29,0.4375,-0.6549646795225063,-0.6549646795225063
2025-02-03,1.375,0.17408406079479619,0.17408406079479619
2025-02-04,0.9375,-0.2128053513532783,-0.2128053513532783
2025-02-05,0.9375,-0.2128053513532783,-0.2128053513532783
2025-02-06,0.6875,-0.4338850154378923,-0.4338850154378923
2025-02-10,0.5,-0.5996947635013528,-0.5996947635013528
2025-02-11,0.375,-0.7102345955436598,-0.7102345955436598
2025-02-14,0.6875,-0.4338850154378923,-0.4338850154378923
2025-02-17,0.625,-0.4891549314590458,-0.4891549314590458
2025-02-18,0.3125,-0.7655045115648133,-0.7655045115648133
2025-02-19,0.3125,-0.7655045115648133,-0.7655045115648133
2025-02-20,0.3125,-0.7655045115648133,-0.7655045115648133
2025-02-21,0.5625,-0.5444248474801993,-0.5444248474801993
2025-02-24,0.4375,-0.6549646795225063,-0.6549646795225063
2025-02-25,1.1875,0.008274312731335701,0.008274312731335701
2025-02-26,4.375,2.8270400298101643,2.8270400298101643
2025-03-03,4.875,3.2691993579793923,3.2691993579793923
2025-03-04,5.5,3.8218985181909275,3.8218985181909275
2025-03-05,1.375,0.17408406079479619,0.17408406079479619
2025-03-06,5.375,3.7113586861486207,3.7113586861486207
2025-03-10,1.5625,0.3398938088582567,0.3398938088582567
2025-03-11,4.875,3.2691993579793923,3.2691993579793923
2025-03-14,2.875,1.5005620453024802,1.5005620453024802
2025-03-17,0.75,-0.3786150994167388,-0.3786150994167388
2025-03-18,0.5625,-0.5444248474801993,-0.5444248474801993
2025-03-19,0.5625,-0.5444248474801993,-0.5444248474801993
2025-03-20,1.5,0.2846238928371032,0.2846238928371032
2025-03-21,1.125,-0.0469956032898178,-0.0469956032898178
2025-03-24,0.5625,-0.5444248474801993,-0.5444248474801993
2025-03-25,1.0,-0.1575354353321248,-0.1575354353321248
2025-03-26,0.6875,-0.4338850154378923,-0.4338850154378923
2025-03-31,1.5,0.2846238928371032,0.2846238928371032
2025-04-01,1.0,-0.1575354353321248,-0.1575354353321248
2025-04-02,1.5,0.2846238928371032,0.2846238928371032
2025-04-03,1.8125,0.5609734729428707,0.5609734729428707
2025-04-04,4.9375,3.3244692740005455,3.3244692740005455
2025-04-07,5.9375,4.208787930339002,4.208787930339002
2025-04-08,2.0625,0.7820531370274847,0.7820531370274847
2025-04-09,2.6875,1.3347522972390198,1.3347522972390198
2025-04-14,1.5625,0.3398938088582567,0.3398938088582567
2025-04-15,1.125,-0.0469956032898178,-0.0469956032898178
2025-04-16,1.375,0.17408406079479619,0.17408406079479619
2025-04-17,0.875,-0.26807526737443177,-0.26807526737443177
2025-04-21,1.1875,0.008274312731335701,0.008274312731335701
2025-04-22,1.4375,0.2293539768159497,0.2293539768159497
2025-04-23,0.75,-0.3786150994167388,-0.3786150994167388
2025-04-24,0.625,-0.4891549314590458,-0.4891549314590458
2025-04-25,1.0625,-0.1022655193109713,-0.1022655193109713
2025-04-28,0.875,-0.26807526737443177,-0.26807526737443177
2025-04-29,0.5625,-0.5444248474801993,-0.5444248474801993
2025-05-01,1.25,0.0635442287524892,0.0635442287524892
2025-05-05,0.5625,-0.5444248474801993,-0.5444248474801993
2025-05-06,1.3125,0.1188141447736427,0.1188141447736427
2025-05-07,0.875,-0.26807526737443177,-0.26807526737443177
2025-05-08,0.875,-0.26807526737443177,-0.26807526737443177
2025-05-09,0.5625,-0.5444248474801993,-0.5444248474801993
2025-05-12,3.1875,1.7769116254082478,1.7769116254082478
