Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-14,2.125,-0.1446695878386551,-0.1446695878386551
2025-02-16,0.4375,-1.0294200237945923,-1.0294200237945923
2025-02-17,0.625,-0.9311144197994883,-0.9311144197994883
2025-02-18,1.1875,-0.6361976078141758,-0.6361976078141758
2025-02-19,1.625,-0.4068178651589328,-0.4068178651589328
2025-02-20,0.875,-0.8000402811393494,-0.8000402811393494
2025-02-21,2.6875,0.15024722414665734,0.15024722414665734
2025-02-23,0.5,-0.9966514891295577,-0.9966514891295577
2025-02-24,2.25,-0.07913251850858567,-0.07913251850858567
2025-02-25,2.4375,0.01917308548651847,0.01917308548651847
2025-02-26,5.9375,1.8542110267284626,1.8542110267284626
2025-03-02,4.8125,1.2643774027578376,1.2643774027578376
2025-03-03,8.5,3.197720947994886,3.197720947994886
