Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2001-01-21,7.499267578125,-0.48197999672720254,-0.48197999672720254
2001-01-22,12.7503662109375,0.4223615535548108,0.4223615535548108
2001-01-23,7.75048828125,-0.43871489431465904,-0.43871489431465904
2001-01-24,14.7503662109375,0.7668005418575866,0.7668005418575866
2001-01-25,9.5008544921875,-0.13726771088732126,-0.13726771088732126
2001-01-28,7.0,-0.5679636064780786,-0.5679636064780786
2001-01-29,12.2496337890625,0.336125669154299,0.336125669154299
2001-01-30,11.2496337890625,0.16390617500291105,0.16390617500291105
2001-01-31,9.0,-0.22352461817530278,-0.22352461817530278
2001-02-01,10.7503662109375,0.07792256525203502,0.07792256525203502
2001-02-04,6.0,-0.7401831006294665,-0.7401831006294665
2001-02-05,7.7503662109375,-0.43873591720212873,-0.43873591720212873
