Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-22,1.25,-0.5286619538228589,-0.5286619538228589
2024-12-23,0.75,-0.7658727894643058,-0.7658727894643058
2024-12-25,2.0,-0.17284570036068844,-0.17284570036068844
2024-12-26,1.125,-0.5879646627332206,-0.5879646627332206
2024-12-29,0.875,-0.7065700805539441,-0.7065700805539441
2024-12-30,1.25,-0.5286619538228589,-0.5286619538228589
2025-01-01,2.0,-0.17284570036068844,-0.17284570036068844
2025-01-02,1.125,-0.5879646627332206,-0.5879646627332206
2025-01-05,1.875,-0.23214840927105018,-0.23214840927105018
2025-01-06,1.5,-0.4100565360021354,-0.4100565360021354
2025-01-07,1.25,-0.5286619538228589,-0.5286619538228589
2025-01-08,1.75,-0.2914511181814119,-0.2914511181814119
2025-01-09,1.375,-0.4693592449124971,-0.4693592449124971
2025-01-12,2.625,0.12366784419112023,0.12366784419112023
2025-01-13,1.125,-0.5879646627332206,-0.5879646627332206
2025-01-16,0.875,-0.7065700805539441,-0.7065700805539441
2025-01-19,1.25,-0.5286619538228589,-0.5286619538228589
2025-01-20,3.5,0.5387868065636524,0.5387868065636524
2025-01-21,1.5,-0.4100565360021354,-0.4100565360021354
2025-01-22,0.875,-0.7065700805539441,-0.7065700805539441
2025-01-23,2.25,-0.05424028253996497,-0.05424028253996497
2025-01-26,2.125,-0.1135429914503267,-0.1135429914503267
2025-01-27,1.875,-0.23214840927105018,-0.23214840927105018
2025-01-28,1.5,-0.4100565360021354,-0.4100565360021354
2025-01-29,1.125,-0.5879646627332206,-0.5879646627332206
2025-02-02,5.5,1.4876301491294401,1.4876301491294401
2025-02-03,1.125,-0.5879646627332206,-0.5879646627332206
2025-02-04,1.25,-0.5286619538228589,-0.5286619538228589
2025-02-05,1.125,-0.5879646627332206,-0.5879646627332206
2025-02-06,1.125,-0.5879646627332206,-0.5879646627332206
2025-02-09,1.625,-0.35075382709177366,-0.35075382709177366
2025-02-10,1.125,-0.5879646627332206,-0.5879646627332206
2025-02-11,1.875,-0.23214840927105018,-0.23214840927105018
2025-02-16,1.5,-0.4100565360021354,-0.4100565360021354
2025-02-17,1.75,-0.2914511181814119,-0.2914511181814119
2025-02-18,1.0,-0.6472673716435823,-0.6472673716435823
2025-02-19,1.5,-0.4100565360021354,-0.4100565360021354
2025-02-20,1.75,-0.2914511181814119,-0.2914511181814119
2025-02-23,0.875,-0.7065700805539441,-0.7065700805539441
2025-02-24,2.375,0.0050624263703967646,0.0050624263703967646
2025-02-25,3.25,0.42018138874292893,0.42018138874292893
2025-02-26,4.25,0.8946030600258228,0.8946030600258228
2025-03-02,4.75,1.1318138956672696,1.1318138956672696
2025-03-03,7.5,2.436473491695228,2.436473491695228
2025-03-04,6.0,1.724840984770887,1.724840984770887
2025-03-05,6.0,1.724840984770887,1.724840984770887
2025-03-06,4.125,0.8353003511154611,0.8353003511154611
2025-03-09,5.25,1.3690247313087167,1.3690247313087167
2025-03-10,4.5,1.0132084778465462,1.0132084778465462
2025-03-11,1.75,-0.2914511181814119,-0.2914511181814119
2025-03-16,4.25,0.8946030600258228,0.8946030600258228
2025-03-17,1.75,-0.2914511181814119,-0.2914511181814119
2025-03-18,1.125,-0.5879646627332206,-0.5879646627332206
2025-03-19,1.25,-0.5286619538228589,-0.5286619538228589
2025-03-20,1.25,-0.5286619538228589,-0.5286619538228589
2025-03-23,2.125,-0.1135429914503267,-0.1135429914503267
2025-03-24,1.25,-0.5286619538228589,-0.5286619538228589
2025-03-25,1.25,-0.5286619538228589,-0.5286619538228589
2025-03-26,2.0,-0.17284570036068844,-0.17284570036068844
2025-03-30,3.875,0.7166949332947375,0.7166949332947375
2025-03-31,1.5,-0.4100565360021354,-0.4100565360021354
2025-04-01,2.125,-0.1135429914503267,-0.1135429914503267
2025-04-02,6.625,2.0213545293226955,2.0213545293226955
2025-04-03,6.125,1.7841436936812487,1.7841436936812487
2025-04-06,15.5,6.231846861958379,6.231846861958379
2025-04-07,6.5,1.962051820412334,1.962051820412334
2025-04-08,12.625,4.8678845570200595,4.8678845570200595
2025-04-09,6.75,2.0806572382330573,2.0806572382330573
2025-04-13,6.625,2.0213545293226955,2.0213545293226955
2025-04-14,2.5,0.0643651352807585,0.0643651352807585
2025-04-15,2.75,0.18297055310148197,0.18297055310148197
2025-04-16,3.875,0.7166949332947375,0.7166949332947375
2025-04-20,2.375,0.0050624263703967646,0.0050624263703967646
2025-04-21,1.875,-0.23214840927105018,-0.23214840927105018
2025-04-22,3.75,0.6573922243843758,0.6573922243843758
2025-04-23,2.375,0.0050624263703967646,0.0050624263703967646
2025-04-24,2.0,-0.17284570036068844,-0.17284570036068844
2025-04-27,1.5,-0.4100565360021354,-0.4100565360021354
2025-04-28,1.5,-0.4100565360021354,-0.4100565360021354
2025-04-29,1.5,-0.4100565360021354,-0.4100565360021354
2025-05-01,3.25,0.42018138874292893,0.42018138874292893
2025-05-04,2.125,-0.1135429914503267,-0.1135429914503267
2025-05-05,1.625,-0.35075382709177366,-0.35075382709177366
2025-05-06,2.875,0.2422732620118437,0.2422732620118437
2025-05-07,2.125,-0.1135429914503267,-0.1135429914503267
2025-05-08,1.625,-0.35075382709177366,-0.35075382709177366
2025-05-11,1.125,-0.5879646627332206,-0.5879646627332206
2025-05-12,2.125,-0.1135429914503267,-0.1135429914503267
2025-05-14,0.875,-0.7065700805539441,-0.7065700805539441
2025-05-18,3.0,0.30157597092220545,0.30157597092220545
2025-05-19,1.625,-0.35075382709177366,-0.35075382709177366
2025-05-20,3.0,0.30157597092220545,0.30157597092220545
2025-05-21,1.75,-0.2914511181814119,-0.2914511181814119
2025-05-22,1.375,-0.4693592449124971,-0.4693592449124971
2025-05-25,3.125,0.36087867983256716,0.36087867983256716
2025-05-26,1.875,-0.23214840927105018,-0.23214840927105018
2025-05-27,1.75,-0.2914511181814119,-0.2914511181814119
2025-05-28,6.25,1.8434464025916106,1.8434464025916106
2025-06-01,3.5,0.5387868065636524,0.5387868065636524
2025-06-02,1.0,-0.6472673716435823,-0.6472673716435823
2025-06-03,1.625,-0.35075382709177366,-0.35075382709177366
2025-06-04,2.75,0.18297055310148197,0.18297055310148197
2025-06-05,1.0,-0.6472673716435823,-0.6472673716435823
2025-06-08,2.125,-0.1135429914503267,-0.1135429914503267
2025-06-09,1.625,-0.35075382709177366,-0.35075382709177366
2025-06-10,1.625,-0.35075382709177366,-0.35075382709177366
2025-06-15,2.75,0.18297055310148197,0.18297055310148197
2025-06-16,2.75,0.18297055310148197,0.18297055310148197
2025-06-17,1.75,-0.2914511181814119,-0.2914511181814119
2025-06-18,2.0,-0.17284570036068844,-0.17284570036068844
2025-06-19,1.25,-0.5286619538228589,-0.5286619538228589
2025-06-22,3.375,0.47948409765329064,0.47948409765329064
2025-06-23,1.625,-0.35075382709177366,-0.35075382709177366
2025-06-24,0.75,-0.7658727894643058,-0.7658727894643058
2025-06-25,1.75,-0.2914511181814119,-0.2914511181814119
2025-06-29,1.5,-0.4100565360021354,-0.4100565360021354
2025-06-30,1.5,-0.4100565360021354,-0.4100565360021354
2025-07-01,0.875,-0.7065700805539441,-0.7065700805539441
2025-07-02,1.75,-0.2914511181814119,-0.2914511181814119
2025-07-06,1.375,-0.4693592449124971,-0.4693592449124971
2025-07-07,1.125,-0.5879646627332206,-0.5879646627332206
2025-07-08,0.25,-1.0030836251057527,-1.0030836251057527
