Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-07-10,0.375,-0.8356455425329755,-0.8356455425329755
2025-07-11,0.6875,-0.6196445538985401,-0.6196445538985401
2025-07-14,1.0625,-0.36044336753721756,-0.36044336753721756
2025-07-17,0.625,-0.6628447516254272,-0.6628447516254272
2025-07-18,0.75,-0.576444356171653,-0.576444356171653
2025-07-21,0.4375,-0.7924453448060885,-0.7924453448060885
2025-07-22,0.4375,-0.7924453448060885,-0.7924453448060885
2025-07-23,1.3125,-0.18764257662966916,-0.18764257662966916
2025-07-24,0.6875,-0.6196445538985401,-0.6196445538985401
2025-07-25,0.5625,-0.7060449493523143,-0.7060449493523143
2025-07-28,0.4375,-0.7924453448060885,-0.7924453448060885
2025-07-29,0.9375,-0.4468437629909917,-0.4468437629909917
2025-08-04,0.875,-0.4900439607178788,-0.4900439607178788
