Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-14,3.25,-0.6895736522672512,-0.6895736522672512
2025-03-17,6.5,0.48450783579948603,0.48450783579948603
2025-03-18,5.5,0.12325199331741303,0.12325199331741303
2025-03-19,8.75,1.2973334813841502,1.2973334813841502
2025-03-20,6.0,0.30387991455844954,0.30387991455844954
2025-03-21,5.0,-0.057375927923623476,-0.057375927923623476
2025-03-24,2.75,-0.8702015735082878,-0.8702015735082878
2025-03-25,3.75,-0.5089457310262148,-0.5089457310262148
2025-03-26,4.0,-0.4186317704056965,-0.4186317704056965
2025-03-31,5.75,0.21356595393793126,0.21356595393793126
2025-04-01,4.75,-0.14768988854414172,-0.14768988854414172
2025-04-02,10.25,1.8392172451072597,1.8392172451072597
2025-04-03,8.75,1.2973334813841502,1.2973334813841502
2025-04-04,17.25,4.36800814248177,4.36800814248177
