Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-26,6.004028320312273,-0.6105475465987705,-0.6105475465987705
2025-03-31,6.5,-0.510629904102915,-0.510629904102915
2025-04-01,10.0,0.19447436506761312,0.19447436506761312
2025-04-02,10.5,0.2952035463776886,0.2952035463776886
2025-04-03,12.0,0.5973910903079149,0.5973910903079149
2025-04-04,25.0,3.2163498043698766,3.2163498043698766
2025-04-07,29.0,4.0221832548504795,4.0221832548504795
2025-04-08,16.0,1.4032245407885184,1.4032245407885184
2025-04-09,50.5,8.353538051183724,8.353538051183724
2025-04-14,10.5,0.2952035463776886,0.2952035463776886
2025-04-15,15.5,1.302495359478443,1.302495359478443
2025-04-16,10.004028320312273,0.19528590388183306,0.19528590388183306
2025-04-17,6.5,-0.510629904102915,-0.510629904102915
2025-04-21,9.0,-0.006983997552537782,-0.006983997552537782
