Date,"Volatility of Returns (Session:London 0-7 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-21,3.75,-0.5447060048630178,-0.5447060048630178
2025-04-22,3.75,-0.5447060048630178,-0.5447060048630178
2025-04-23,5.5,0.13401634810431934,0.13401634810431934
2025-04-24,3.5,-0.6416663410012088,-0.6416663410012088
2025-04-25,4.25,-0.3507853325866357,-0.3507853325866357
2025-04-28,4.5,-0.2538249964484447,-0.2538249964484447
2025-04-29,3.75,-0.5447060048630178,-0.5447060048630178
2025-05-01,5.0,-0.05990432417206268,-0.05990432417206268
2025-05-05,2.0,-1.2234283578303549,-1.2234283578303549
2025-05-06,3.25,-0.7386266771393998,-0.7386266771393998
2025-05-07,3.25,-0.7386266771393998,-0.7386266771393998
2025-05-08,3.25,-0.7386266771393998,-0.7386266771393998
2025-05-09,3.0,-0.8355870132775908,-0.8355870132775908
