Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-31,1.875,-0.5244092991523547,-0.5244092991523547
2025-04-01,2.75,0.00422130072286997,0.00422130072286997
2025-04-02,4.25,0.9104451862232551,0.9104451862232551
2025-04-03,4.25,0.9104451862232551,0.9104451862232551
2025-04-04,10.875,4.912934013849956,4.912934013849956
2025-04-07,11.625,5.366045956600149,5.366045956600149
2025-04-08,4.375,0.9859638433482872,0.9859638433482872
2025-04-09,8.0,3.1760048999742176,3.1760048999742176
2025-04-14,4.375,0.9859638433482872,0.9859638433482872
2025-04-15,3.375,0.38181458634803045,0.38181458634803045
2025-04-16,3.25,0.30629592922299836,0.30629592922299836
2025-04-17,2.125,-0.3733719849022905,-0.3733719849022905
2025-04-21,2.75,0.00422130072286997,0.00422130072286997
2025-04-22,2.875,0.07973995784790207,0.07973995784790207
