Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-03,4.125,0.20257843664081837,0.20257843664081837
2025-02-04,1.75,-0.8292496498118863,-0.8292496498118863
2025-02-05,1.75,-0.8292496498118863,-0.8292496498118863
2025-02-06,2.25,-0.6120226842428959,-0.6120226842428959
2025-02-10,2.5,-0.5034092014584006,-0.5034092014584006
2025-02-11,1.5,-0.9378631325963815,-0.9378631325963815
2025-02-14,1.875,-0.7749429084196386,-0.7749429084196386
2025-02-17,0.5,-1.3723170637343625,-1.3723170637343625
2025-02-18,2.5,-0.5034092014584006,-0.5034092014584006
2025-02-19,2.0,-0.7206361670273911,-0.7206361670273911
2025-02-20,1.125,-1.1007833567731244,-1.1007833567731244
2025-02-21,4.25,0.256885178033066,0.256885178033066
2025-02-24,2.375,-0.5577159428506482,-0.5577159428506482
2025-02-25,2.75,-0.3947957186739054,-0.3947957186739054
2025-02-26,7.875,1.8317806784082469,1.8317806784082469
2025-03-03,6.125,1.0714862989167802,1.0714862989167802
2025-03-04,12.5,3.8411301099214086,3.8411301099214086
2025-03-05,7.5,1.668860454231504,1.668860454231504
2025-03-06,7.0,1.4516334886625135,1.4516334886625135
2025-03-10,5.5,0.7999525919555421,0.7999525919555421
2025-03-11,7.375,1.6145537128392564,1.6145537128392564
2025-03-14,4.0,0.14827169524857076,0.14827169524857076
2025-03-17,4.375,0.3111919194253136,0.3111919194253136
2025-03-18,4.375,0.3111919194253136,0.3111919194253136
2025-03-19,7.375,1.6145537128392564,1.6145537128392564
2025-03-20,3.625,-0.014648528928172084,-0.014648528928172084
2025-03-21,3.25,-0.17756875310491493,-0.17756875310491493
2025-03-24,1.75,-0.8292496498118863,-0.8292496498118863
2025-03-25,2.25,-0.6120226842428959,-0.6120226842428959
2025-03-26,2.75,-0.3947957186739054,-0.3947957186739054
2025-03-31,4.0,0.14827169524857076,0.14827169524857076
2025-04-01,3.25,-0.17756875310491493,-0.17756875310491493
2025-04-02,6.375,1.1800997817012755,1.1800997817012755
2025-04-03,5.875,0.9628728161322849,0.9628728161322849
2025-04-04,13.25,4.166970558274895,4.166970558274895
2025-04-07,10.625,3.0265289890376943,3.0265289890376943
2025-04-08,9.125,2.374848092330723,2.374848092330723
2025-04-09,14.0,4.49281100662838,4.49281100662838
2025-04-14,6.25,1.1257930403090277,1.1257930403090277
2025-04-15,4.375,0.3111919194253136,0.3111919194253136
2025-04-16,5.125,0.6370323677787992,0.6370323677787992
2025-04-17,4.0,0.14827169524857076,0.14827169524857076
2025-04-21,4.75,0.47411214360205645,0.47411214360205645
2025-04-22,3.0,-0.28618223588941016,-0.28618223588941016
2025-04-23,4.875,0.528418884994304,0.528418884994304
2025-04-24,2.875,-0.3404889772816578,-0.3404889772816578
2025-04-25,4.25,0.256885178033066,0.256885178033066
2025-04-28,5.0,0.5827256263865517,0.5827256263865517
2025-04-29,2.125,-0.6663294256351434,-0.6663294256351434
2025-05-01,5.5,0.7999525919555421,0.7999525919555421
2025-05-05,2.25,-0.6120226842428959,-0.6120226842428959
2025-05-06,3.0,-0.28618223588941016,-0.28618223588941016
2025-05-07,4.125,0.20257843664081837,0.20257843664081837
2025-05-08,6.75,1.3430200058780182,1.3430200058780182
2025-05-09,3.375,-0.12326201171266732,-0.12326201171266732
2025-05-12,2.625,-0.449102460066153,-0.449102460066153
2025-05-14,3.875,0.09396495385632314,0.09396495385632314
2025-05-16,3.5,-0.0689552703204197,-0.0689552703204197
2025-05-19,3.0,-0.28618223588941016,-0.28618223588941016
2025-05-20,2.75,-0.3947957186739054,-0.3947957186739054
2025-05-21,3.875,0.09396495385632314,0.09396495385632314
2025-05-22,3.0,-0.28618223588941016,-0.28618223588941016
2025-05-23,2.25,-0.6120226842428959,-0.6120226842428959
2025-05-26,0.625,-1.318010322342115,-1.318010322342115
2025-05-27,2.5,-0.5034092014584006,-0.5034092014584006
2025-05-28,3.5,-0.0689552703204197,-0.0689552703204197
2025-06-02,4.75,0.47411214360205645,0.47411214360205645
2025-06-03,2.375,-0.5577159428506482,-0.5577159428506482
2025-06-04,2.875,-0.3404889772816578,-0.3404889772816578
2025-06-05,5.75,0.9085660747400374,0.9085660747400374
2025-06-09,2.875,-0.3404889772816578,-0.3404889772816578
2025-06-10,2.5,-0.5034092014584006,-0.5034092014584006
2025-06-13,4.0,0.14827169524857076,0.14827169524857076
2025-06-16,2.75,-0.3947957186739054,-0.3947957186739054
2025-06-17,4.0,0.14827169524857076,0.14827169524857076
2025-06-18,3.875,0.09396495385632314,0.09396495385632314
2025-06-19,0.875,-1.2093968395576196,-1.2093968395576196
2025-06-20,4.625,0.41980540220980883,0.41980540220980883
2025-06-23,3.25,-0.17756875310491493,-0.17756875310491493
2025-06-24,2.625,-0.449102460066153,-0.449102460066153
2025-06-25,3.75,0.039658212464075526,0.039658212464075526
2025-06-30,2.5,-0.5034092014584006,-0.5034092014584006
2025-07-01,2.0,-0.7206361670273911,-0.7206361670273911
2025-07-02,2.625,-0.449102460066153,-0.449102460066153
2025-07-04,2.875,-0.3404889772816578,-0.3404889772816578
2025-07-07,1.5,-0.9378631325963815,-0.9378631325963815
2025-07-08,1.0,-1.155090098165372,-1.155090098165372
2025-07-09,2.875,-0.3404889772816578,-0.3404889772816578
2025-07-10,1.125,-1.1007833567731244,-1.1007833567731244
2025-07-11,0.875,-1.2093968395576196,-1.2093968395576196
